image_id,year,month,day,final_date,status,term,notation_raw,tag_dot,tag_engrave,tag_curved,tag_lowcontrast,tag_multidate,tag_lotconfuse,tag_relative,tag_reference,tag_ymonly,tag_foreign,tag_unreadable,notes
cust_0001,2027,03,27,2027-03-27,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0002,2027,03,03,2027-03-03,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0003,2027,02,25,2027-02-25,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0004,2027,02,27,2027-02-27,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0005,2027,04,07,2027-04-07,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0006,2027,02,25,2027-02-25,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0007,2027,02,25,2027-02-25,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0008,2027,02,25,2027-02-25,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0009,2026,10,09,2026-10-09,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0010,2027,03,03,2027-03-03,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
cust_0011,2026,11,23,2026-11-23,완료,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,
